ob,r,d,dToCritical,dToDesirable,hasLM,Label
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.3,0.54,4,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.11,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.3,0.54,4,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_8 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_4_5,0.01,0.33,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_4_4,0.0,0.33,5,8,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.01,0.33,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_4_5,0.01,0.33,4,7,NaN,N
MOVE PLACE_4_5 PLACE_5_5,0.0,0.02,-1,6,NaN,N
MOVE PLACE_5_5 PLACE_5_6,0.0,0.03,-1,5,NaN,N
MOVE PLACE_5_6 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_4_3,0.0,0.75,6,9,NaN,N
MOVE PLACE_4_3 PLACE_4_4,0.0,0.33,5,8,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.01,0.33,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_5_6,0.0,0.03,-1,5,NaN,N
MOVE PLACE_5_6 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_4_3,0.0,0.75,6,9,NaN,N
MOVE PLACE_4_3 PLACE_4_4,0.0,0.33,5,8,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.01,0.33,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.11,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_4_3,0.0,0.75,6,9,NaN,N
MOVE PLACE_4_3 PLACE_4_4,0.0,0.33,5,8,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.01,0.33,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_4_4,0.0,0.33,5,8,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.01,0.33,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_5_6,0.0,0.03,-1,5,NaN,N
MOVE PLACE_5_6 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.3,0.54,4,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.3,0.54,4,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.26,0.44,3,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.17,0.31,2,5,NaN,N
MOVE PLACE_2_9 PLACE_2_10,0.0,0.16,-1,4,NaN,N
MOVE PLACE_2_10 PLACE_3_10,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_4_5,0.01,0.33,4,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_9 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.3,0.54,4,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.26,0.44,3,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.17,0.31,2,5,NaN,N
MOVE PLACE_2_9 PLACE_3_9,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_9 PLACE_4_9,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_9 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_4_6,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_6 PLACE_5_6,0.0,0.03,-1,5,NaN,N
MOVE PLACE_5_6 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.3,0.54,4,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.26,0.44,3,6,NaN,N
MOVE PLACE_2_8 PLACE_3_8,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.3,0.54,4,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.15,0.7,7,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.2,0.67,6,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.3,0.54,4,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.02,0.75,7,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.03,0.33,6,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.05,0.33,5,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_7 PLACE_5_7,0.0,0.06,-1,4,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.12,-1,3,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_9 PLACE_5_10,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_10 PLACE_5_11,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_8 PLACE_4_8,0.0,0.28,-1,2,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_9 PLACE_5_9,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_4 PLACE_4_4,0.04,0.33,3,6,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.11,0.33,2,5,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.33,0.33,1,4,NaN,N
MOVE PLACE_4_6 PLACE_4_7,1.0,0.0,0,-1,NaN,Y
MOVE PLACE_4_7 PLACE_5_7,0.0,0.25,-1,2,NaN,N
MOVE PLACE_5_7 PLACE_5_8,0.0,0.5,-1,1,NaN,N
MOVE PLACE_5_8 PLACE_5_9,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.26,0.62,5,8,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.09,0.32,4,7,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.15,0.31,3,6,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.22,0.28,2,5,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.33,0.24,1,4,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.17,-1,3,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.11,-1,2,NaN,N
